,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin B-6 mg,Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids Cholesterol mg
Emu_fan_fillet_raw,74.62,103.0,432.0,22.5,0.8,1.1,0.0,0.0,3.0,4.5,42.0,236.0,300.0,120.0,3.5,0.211,0.029,0.0,0.267,0.451,7.397,0.634,6.67,0.0,0.0,0.0,71.0
Chicken_broilers_or_fryers_wing_meat_only_raw,74.95,126.0,527.0,21.97,3.54,0.83,0.0,0.0,13.0,0.88,22.0,155.0,194.0,81.0,1.63,0.041,0.018,1.2,0.059,0.101,7.359,0.53,0.38,18.0,18.0,59.0,57.0
Turkey_all_classes_leg_meat_and_skin_raw,72.69,144.0,602.0,19.54,6.72,0.89,0.0,0.0,17.0,1.72,21.0,177.0,273.0,74.0,3.09,0.142,0.022,0.0,0.077,0.211,2.947,0.34,0.39,1.0,1.0,3.0,71.0
Chicken_stewing_meat_and_skin_and_giblets_and_neck_raw,62.5,251.0,1050.0,17.48,19.52,1.02,0.19,0.0,10.0,1.51,20.0,173.0,204.0,71.0,1.37,0.092,0.031,3.1,0.111,0.251,6.383,0.35,1.26,331.0,331.0,1102.0,87.0
Chicken_stewing_giblets_raw,69.8,168.0,703.0,17.89,9.21,0.97,2.13,0.0,10.0,5.93,18.0,198.0,226.0,77.0,3.01,0.275,0.151,11.4,0.097,1.106,8.53,0.52,10.83,3152.0,3152.0,10497.0,240.0
Ostrich_outside_leg_raw,75.59,115.0,482.0,22.86,1.96,0.62,0.0,0.0,5.0,2.65,23.0,221.0,322.0,90.0,3.89,0.142,0.018,0.0,0.205,0.302,4.949,0.537,5.21,0.0,0.0,0.0,65.0
Chicken_broilers_or_fryers_drumstick_meat_and_skin_raw,72.46,161.0,672.0,18.08,9.2,0.86,0.11,0.0,8.0,0.71,18.0,163.0,211.0,106.0,1.86,0.062,0.014,0.0,0.083,0.195,4.841,0.345,0.53,14.0,14.0,46.0,92.0
Emu_ground_raw,72.87,134.0,559.0,22.77,4.03,1.0,0.0,0.0,7.0,4.02,24.0,222.0,320.0,56.0,3.48,0.199,0.027,0.0,0.27,0.457,7.485,0.642,6.75,0.0,0.0,0.0,69.0
Ostrich_fan_raw,75.93,117.0,490.0,21.81,2.65,0.61,0.0,0.0,6.0,4.38,22.0,211.0,308.0,75.0,3.71,0.136,0.017,0.0,0.196,0.288,4.722,0.513,4.97,0.0,0.0,0.0,73.0
Turkey_drumstick_from_whole_bird_meat_only_raw,74.89,109.0,454.0,23.66,1.48,1.04,0.14,0.0,11.0,0.73,28.0,201.0,242.0,113.0,1.28,0.07,0.011,0.0,0.042,0.145,9.924,0.813,0.63,6.0,6.0,20.0,57.0
Chicken_roasting_dark_meat_meat_only_raw,75.48,113.0,473.0,18.74,3.61,1.04,0.0,0.0,9.0,1.15,21.0,178.0,227.0,95.0,1.65,0.059,0.02,0.0,0.072,0.173,5.878,0.32,0.34,18.0,18.0,60.0,72.0
Chicken_ground_raw,73.24,143.0,598.0,17.44,8.1,1.17,0.04,0.0,6.0,0.82,21.0,178.0,522.0,60.0,1.47,0.065,0.016,0.0,0.109,0.241,5.575,0.512,0.56,0.0,0.0,0.0,86.0
Chicken_broilers_or_fryers_wing_meat_and_skin_raw,69.19,191.0,798.0,17.52,12.85,0.74,0.0,0.0,11.0,0.46,16.0,123.0,187.0,84.0,1.21,0.034,0.011,0.0,0.054,0.103,5.697,0.528,0.25,9.0,9.0,29.0,111.0
Ground_turkey_raw,72.36,148.0,618.0,19.66,7.66,1.0,0.0,0.0,19.0,1.09,23.0,200.0,237.0,58.0,2.35,0.096,0.008,0.0,0.066,0.156,6.733,0.564,1.0,20.0,20.0,66.0,69.0
Turkey_from_whole_light_meat_meat_and_skin_raw,70.68,161.0,673.0,21.96,7.43,0.96,0.15,0.0,11.0,0.75,25.0,188.0,223.0,105.0,1.25,0.067,0.011,0.0,0.038,0.139,8.968,0.711,0.67,19.0,19.0,62.0,67.0
Chicken_broilers_or_fryers_meat_and_skin_raw,65.99,215.0,900.0,18.6,15.06,0.79,0.0,0.0,11.0,0.9,20.0,147.0,189.0,70.0,1.31,0.048,0.019,1.6,0.06,0.12,6.801,0.35,0.31,41.0,41.0,140.0,75.0
Chicken_broiler_or_fryers_breast_skinless_boneless_meat_only_raw,73.9,120.0,501.0,22.5,2.62,1.13,0.0,0.0,5.0,0.37,28.0,213.0,334.0,45.0,0.68,0.037,0.011,0.0,0.094,0.177,9.6,0.811,0.21,9.0,9.0,30.0,73.0
Chicken_broilers_or_fryers_back_meat_only_raw,75.31,137.0,573.0,19.56,5.92,0.92,0.0,0.0,17.0,1.04,22.0,151.0,204.0,82.0,1.85,0.06,0.021,0.0,0.074,0.164,6.672,0.33,0.36,30.0,30.0,99.0,81.0
Canada_Goose_breast_meat_skinless_raw,70.78,133.0,558.0,24.31,4.02,1.41,0.0,0.0,4.0,5.91,29.0,256.0,336.0,50.0,1.68,0.443,0.05,0.0,0.284,1.523,6.56,1.077,4.1,11.0,11.0,38.0,80.0
Ostrich_round_raw,75.68,116.0,483.0,21.99,2.4,0.62,0.0,0.0,5.0,3.54,22.0,216.0,315.0,72.0,3.8,0.139,0.018,0.0,0.198,0.29,4.761,0.517,5.01,0.0,0.0,0.0,71.0
Duck_domesticated_meat_only_raw,73.77,135.0,566.0,18.28,5.95,1.06,0.94,0.0,11.0,2.4,19.0,203.0,271.0,74.0,1.9,0.253,0.019,5.8,0.36,0.45,5.3,0.34,0.4,24.0,24.0,79.0,77.0
Turkey_from_whole_light_meat_meat_and_skin_with_added_solution_raw,72.09,147.0,615.0,20.02,7.42,1.31,0.14,0.0,14.0,0.54,22.0,214.0,220.0,195.0,1.22,0.051,0.007,0.0,0.03,0.137,8.832,0.675,0.67,19.0,19.0,64.0,60.0
Emu_full_rump_raw,73.79,112.0,469.0,22.83,1.64,1.14,0.0,0.0,4.0,4.96,40.0,236.0,330.0,90.0,3.59,0.211,0.029,0.0,0.36,0.458,7.504,0.643,2.24,4.0,4.0,15.0,85.0
Turkey_from_whole_dark_meat_meat_only_raw,76.01,108.0,453.0,21.28,2.5,1.03,0.15,0.0,11.0,1.04,25.0,176.0,226.0,124.0,2.59,0.092,0.014,0.0,0.062,0.255,5.696,0.44,2.05,13.0,13.0,43.0,79.0
Squab_(pigeon)_meat_only_raw,72.8,142.0,594.0,17.5,7.5,1.17,0.0,0.0,13.0,4.51,25.0,307.0,237.0,51.0,2.7,0.594,0.019,7.2,0.283,0.285,6.86,0.53,0.47,28.0,28.0,94.0,90.0
