,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
"Beef_chuck_short_ribs_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",64.76,227.0,950.0,17.87,17.28,0.86,0.0,0.0,12.0,2.15,85.0,0.0,7.738,0.0,0.543,4.083,2.846,8.716,0.521,7.904,0.729,0.65,0.033,0.038,78.0
"Beef_flank_steak_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",70.73,155.0,650.0,21.22,7.17,1.0,0.0,0.0,25.0,1.55,54.0,0.0,2.978,0.014,0.216,1.878,0.858,2.924,0.297,2.621,0.277,0.169,0.081,0.027,65.0
"Beef_loin_tenderloin_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.04,135.0,563.0,22.16,5.1,1.1,0.0,0.0,14.0,2.48,42.0,0.0,1.706,0.004,0.108,0.919,0.591,1.799,0.118,1.615,0.375,0.283,0.011,0.051,62.0
Beef_sandwich_steaks_flaked_chopped_formed_and_thinly_sliced_raw,56.0,309.0,1293.0,16.5,27.0,0.8,0.0,0.0,12.0,1.86,68.0,0.0,11.538,0.0,0.82,6.342,3.906,11.038,0.981,9.714,0.488,0.368,0.12,0.0,71.0
"Beef_round_tip_round_roast_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",74.48,126.0,526.0,21.07,3.95,1.03,0.0,0.0,18.0,1.77,54.0,0.0,1.376,0.0,0.095,0.836,0.445,1.641,0.138,1.503,0.201,0.159,0.011,0.032,57.0
Beef_New_Zealand_imported_variety_meats_and_by-products_kidney_raw,80.52,87.0,362.0,15.68,2.64,1.15,0.0,0.0,9.0,3.83,175.0,0.0,0.616,0.0,0.007,0.288,0.258,0.345,0.028,0.299,0.606,0.197,0.043,0.171,404.0
"Beef_chuck_arm_pot_roast_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",74.12,125.0,523.0,22.26,3.32,1.0,0.0,0.0,18.0,1.86,77.0,0.0,1.232,0.003,0.087,0.737,0.405,1.392,0.121,1.269,0.157,0.115,0.011,0.017,66.0
"Beef_round_top_round_steak_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",71.44,140.0,586.0,22.69,4.78,1.16,0.0,0.0,20.0,2.12,57.0,0.0,1.637,0.0,0.112,1.038,0.487,2.014,0.197,1.814,0.219,0.16,0.011,0.034,63.0
Beef_rib_shortribs_separable_lean_only_choice_raw,69.38,173.0,724.0,19.05,10.19,0.98,0.0,0.0,8.0,2.16,65.0,0.0,4.33,0.01,0.31,2.45,1.34,4.38,0.38,3.79,0.38,0.3,0.03,0.04,59.0
"Beef_bottom_sirloin_tri-tip_roast_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",70.73,157.0,659.0,20.64,7.68,1.06,0.0,0.0,24.0,1.51,53.0,0.0,2.822,0.004,0.185,1.769,0.857,3.816,0.293,3.521,0.354,0.272,0.047,0.035,65.0
