,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
Pork_fresh_variety_meats_and_by-products_kidneys_raw,80.06,100.0,418.0,16.46,3.25,1.17,0.0,0.0,9.0,4.89,17.0,204.0,229.0,121.0,2.75,0.622,0.123,190.0,13.3,0.34,1.697,8.207,3.13,0.44,42.0,0.0,42.0,42.0,8.49,59.0,59.0,198.0,0.04,0.58,0.41,1.07,0.09,0.97,0.26,0.17,0.01,0.08,319.0
Pork_fresh_loin_whole_separable_lean_and_fat_raw,66.92,198.0,828.0,19.74,12.58,0.96,0.0,0.0,18.0,0.79,21.0,197.0,356.0,50.0,1.74,0.056,0.011,33.2,0.6,0.901,0.248,4.58,0.723,0.472,1.0,0.0,1.0,1.0,0.53,2.0,2.0,7.0,0.16,2.72,1.42,5.61,0.36,5.14,1.34,1.11,0.09,0.08,63.0
Pork_fresh_variety_meats_and_by-products_mechanically_separated_raw,56.87,304.0,1272.0,15.03,26.54,1.56,0.0,0.0,315.0,4.25,16.0,200.0,298.0,50.0,2.44,0.082,0.011,32.9,0.7,0.697,0.201,3.171,0.59,0.37,3.0,0.0,3.0,3.0,0.58,3.0,3.0,10.0,0.22,6.13,3.37,12.26,0.44,11.41,2.44,2.14,0.16,0.05,77.0
Pork_fresh_backribs_separable_lean_and_fat_raw,63.47,224.0,936.0,19.07,16.33,1.03,0.0,0.0,31.0,0.76,16.0,154.0,247.0,87.0,2.54,0.091,0.008,30.7,0.0,0.457,0.305,6.776,0.818,0.422,0.0,0.0,0.0,0.0,0.56,7.0,7.0,22.0,0.21,3.549,1.903,6.861,0.342,6.41,2.676,2.368,0.11,0.08,69.0
Pork_fresh_variety_meats_and_by-products_chitterlings_raw,76.11,182.0,764.0,7.64,16.61,0.2,0.0,0.0,16.0,1.02,6.0,48.0,18.0,24.0,1.02,0.076,0.051,15.1,1.1,0.02,0.091,0.215,0.227,0.014,3.0,0.0,3.0,3.0,0.82,0.0,0.0,0.0,0.232,4.057,3.152,5.367,0.263,4.994,0.996,0.799,0.028,0.095,154.0
Pork_fresh_composite_of_trimmed_leg_loin_shoulder_and_spareribs_(includes_cuts_to_be_cured)_separable_lean_and_fat_raw,65.99,211.0,884.0,18.22,14.79,0.88,0.0,0.0,11.0,0.89,21.0,195.0,319.0,57.0,2.27,0.075,0.014,28.5,0.3,0.622,0.255,4.73,0.899,0.504,3.0,0.0,3.0,3.0,0.67,1.0,1.0,6.0,0.179,3.141,1.693,6.102,0.377,5.82,1.726,1.506,0.091,0.116,69.0
Pork_fresh_loin_blade_(chops_or_roasts)_bone-in_separable_lean_only_raw,72.84,143.0,599.0,21.22,5.84,1.07,0.0,0.0,30.0,0.71,18.0,226.0,313.0,73.0,2.74,0.081,0.009,31.6,0.0,0.54,0.338,7.113,1.115,0.466,0.0,0.0,0.0,0.0,0.53,3.0,3.0,9.0,0.069,1.208,0.656,2.301,0.132,2.133,0.805,0.673,0.028,0.067,59.0
Pork_fresh_enhanced_loin_tenderloin_separable_lean_only_raw,76.91,106.0,443.0,20.39,2.09,1.56,0.0,0.0,4.0,0.92,23.0,290.0,527.0,243.0,1.73,0.103,0.011,35.2,0.0,0.757,0.337,6.45,0.824,0.756,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.021,0.415,0.231,0.762,0.047,0.703,0.352,0.288,0.007,0.05,48.0
Pork_fresh_loin_center_loin_(chops)_boneless_separable_lean_only_raw,72.38,123.0,514.0,23.75,3.09,1.14,0.0,0.0,6.0,0.48,26.0,221.0,386.0,87.0,1.42,0.048,0.0,46.9,0.0,0.69,0.203,8.21,0.7,0.363,0.0,0.0,0.0,0.0,0.41,1.0,1.0,4.0,0.03,0.5,0.251,0.958,0.062,0.876,0.287,0.231,0.007,0.028,56.0
Pork_fresh_loin_blade_(chops_or_roasts)_boneless_separable_lean_and_fat_only_raw,69.7,157.0,656.0,20.54,7.94,1.07,0.76,0.0,6.0,0.74,21.0,233.0,372.0,64.0,1.74,0.053,0.009,37.1,0.0,0.599,0.227,6.564,0.831,0.546,0.0,0.0,0.0,0.0,0.49,4.0,4.0,14.0,0.102,1.713,0.911,3.408,0.178,3.175,1.37,1.199,0.054,0.063,59.0
