,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, IU IU",Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU,"Lipids Fatty acids, total saturated g","Lipids Fatty acids, total monounsaturated g",Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,"Lipids Fatty acids, total trans g",Amino Acids Tryptophan g,Amino Acids Isoleucine g,Amino Acids Leucine g,Amino Acids Lysine g,Amino Acids Methionine g,Amino Acids Cystine g,Amino Acids Phenylalanine g,Amino Acids Valine g,Amino Acids Histidine g
Peanuts_valencia_raw,4.26,570.0,2385.0,25.09,47.58,2.17,20.91,62.0,2.09,184.0,336.0,332.0,1.0,3.34,1.171,1.98,7.3,0.639,0.3,12.875,1.809,0.34,246.0,0.0,246.0,246.0,0.0,0.0,0.0,0.0,7.329,21.414,20.867,16.5,16.489,0.0,0.244,0.882,1.627,0.901,0.308,0.322,1.3,1.052,0.634
Beans_great_northern_mature_seeds_raw,10.7,339.0,1419.0,21.86,1.14,3.93,62.37,175.0,5.47,189.0,447.0,1387.0,14.0,2.31,0.837,1.423,12.9,0.653,0.237,1.955,1.098,0.447,482.0,0.0,482.0,482.0,0.0,0.0,0.0,0.0,0.356,0.053,0.053,0.477,0.263,0.0,0.259,0.965,1.745,1.5,0.329,0.238,1.182,1.144,0.608
Tofu_raw_regular_prepared_with_calcium_sulfate,84.55,76.0,317.0,8.08,4.78,0.72,1.87,350.0,5.36,30.0,97.0,121.0,7.0,0.8,0.193,0.605,8.9,0.081,0.052,0.195,0.068,0.047,15.0,0.0,15.0,15.0,0.0,85.0,0.0,0.0,0.691,1.056,1.043,2.699,2.38,0.0,0.12,0.435,0.713,0.452,0.108,0.029,0.428,0.446,0.221
Beans_kidney_royal_red_mature_seeds_raw,11.9,329.0,1377.0,25.33,0.45,4.0,58.33,131.0,8.7,138.0,406.0,1346.0,13.0,2.66,1.0,1.109,3.2,0.39,0.24,2.106,0.779,0.396,393.0,0.0,393.0,393.0,0.0,8.0,0.0,0.0,0.065,0.035,0.035,0.249,0.097,0.0,0.3,1.118,2.022,1.738,0.381,0.276,1.37,1.325,0.705
Beans_navy_mature_seeds_raw,12.1,337.0,1411.0,22.33,1.5,3.32,60.75,147.0,5.49,175.0,407.0,1185.0,5.0,3.65,0.834,1.418,11.0,0.775,0.164,2.188,0.744,0.428,364.0,0.0,364.0,364.0,0.0,0.0,0.0,0.0,0.17,0.128,0.117,0.873,0.335,0.0,0.247,0.952,1.723,1.28,0.273,0.187,1.158,1.241,0.507
Beans_kidney_california_red_mature_seeds_raw,11.75,330.0,1381.0,24.37,0.25,3.83,59.8,195.0,9.35,160.0,405.0,1490.0,11.0,2.55,1.1,1.0,3.2,0.529,0.219,2.06,0.78,0.397,394.0,0.0,394.0,394.0,0.0,8.0,0.0,0.0,0.036,0.019,0.019,0.138,0.054,0.0,0.289,1.076,1.946,1.673,0.367,0.265,1.318,1.275,0.679
Soy_meal_defatted_raw,6.94,337.0,1409.0,49.2,2.39,5.58,35.89,244.0,13.7,306.0,701.0,2490.0,3.0,5.06,2.0,3.8,3.3,0.691,0.251,2.587,1.976,0.569,303.0,0.0,303.0,303.0,0.0,40.0,0.0,0.0,0.268,0.409,0.404,1.045,0.921,0.0,0.653,2.18,3.66,2.991,0.606,0.724,2.346,2.243,1.212
Chickpeas_(garbanzo_beans_bengal_gram)_mature_seeds_raw,7.68,378.0,1581.0,20.47,6.04,2.85,62.95,57.0,4.31,79.0,252.0,718.0,24.0,2.76,0.656,21.306,0.0,0.477,0.212,1.541,1.588,0.535,557.0,0.0,557.0,557.0,0.0,67.0,0.0,0.0,0.603,1.377,1.365,2.731,2.629,0.0,0.2,0.882,1.465,1.377,0.27,0.279,1.103,0.865,0.566
Beans_kidney_all_types_mature_seeds_raw,11.75,333.0,1393.0,23.58,0.83,3.83,60.01,143.0,8.2,140.0,407.0,1406.0,24.0,2.79,0.958,1.021,3.2,0.529,0.219,2.06,0.78,0.397,394.0,0.0,394.0,394.0,0.0,0.0,0.0,0.0,0.12,0.064,0.064,0.457,0.178,0.0,0.279,1.041,1.882,1.618,0.355,0.256,1.275,1.233,0.656
Winged_beans_mature_seeds_raw,8.34,409.0,1711.0,29.65,16.32,3.98,41.71,440.0,13.44,179.0,451.0,977.0,38.0,4.48,2.88,3.721,8.2,1.03,0.45,3.09,0.795,0.175,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,2.303,6.012,5.654,4.33,4.068,0.0,0.762,1.468,2.497,2.136,0.356,0.545,1.429,1.53,0.79
Beans_pink_mature_seeds_raw,10.06,343.0,1435.0,20.96,1.13,3.66,64.19,130.0,6.77,182.0,415.0,1464.0,8.0,2.55,0.81,1.376,13.0,0.772,0.192,1.892,0.997,0.527,463.0,0.0,463.0,463.0,0.0,0.0,0.0,0.0,0.292,0.098,0.098,0.487,0.265,0.0,0.248,0.925,1.673,1.438,0.315,0.228,1.133,1.096,0.583
Cowpeas_catjang_mature_seeds_raw,11.05,343.0,1435.0,23.85,2.07,3.39,59.64,85.0,9.95,333.0,438.0,1375.0,58.0,6.11,1.059,1.544,9.1,0.68,0.17,2.795,1.511,0.361,639.0,0.0,639.0,639.0,0.0,33.0,0.0,0.0,0.542,0.173,0.144,0.889,0.563,0.0,0.294,0.969,1.828,1.614,0.34,0.263,1.393,1.137,0.74
Beans_yellow_mature_seeds_raw,11.1,345.0,1443.0,22.0,2.6,3.6,60.7,166.0,7.01,222.0,488.0,1042.0,12.0,2.83,0.639,1.286,12.8,0.69,0.33,2.43,0.734,0.442,389.0,0.0,389.0,389.0,0.0,6.0,0.0,0.0,0.671,0.226,0.226,1.118,0.609,0.0,0.26,0.972,1.756,1.51,0.331,0.239,1.19,1.151,0.612
Beans_small_white_mature_seeds_raw,11.71,336.0,1406.0,21.11,1.18,3.75,62.25,173.0,7.73,183.0,445.0,1542.0,12.0,2.81,0.635,1.278,12.8,0.743,0.207,1.342,0.729,0.439,386.0,0.0,386.0,386.0,0.0,0.0,0.0,0.0,0.304,0.102,0.102,0.507,0.276,0.0,0.25,0.932,1.685,1.449,0.317,0.23,1.141,1.104,0.588
Yardlong_beans_mature_seeds_raw,8.43,347.0,1452.0,24.33,1.31,4.03,61.91,138.0,8.61,338.0,559.0,1157.0,17.0,3.5,0.879,1.59,8.2,0.887,0.235,2.158,1.556,0.371,658.0,0.0,658.0,658.0,0.0,52.0,0.0,0.0,0.339,0.114,0.114,0.565,0.308,0.0,0.3,0.989,1.864,1.646,0.346,0.269,1.421,1.16,0.755
Lupins_mature_seeds_raw,10.44,371.0,1554.0,36.17,9.74,3.28,40.37,176.0,4.36,198.0,440.0,1013.0,15.0,4.75,1.022,2.382,8.2,0.64,0.22,2.19,0.75,0.357,355.0,0.0,355.0,355.0,0.0,0.0,0.0,0.0,1.156,3.94,3.558,2.439,1.995,0.0,0.289,1.615,2.743,1.933,0.255,0.446,1.435,1.51,1.03
Beans_black_mature_seeds_raw,11.02,341.0,1425.0,21.6,1.42,3.6,62.36,123.0,5.02,171.0,352.0,1483.0,5.0,3.65,0.841,1.06,3.2,0.9,0.193,1.955,0.899,0.286,444.0,0.0,444.0,444.0,0.0,17.0,0.0,0.0,0.366,0.123,0.123,0.61,0.332,0.0,0.256,0.954,1.725,1.483,0.325,0.235,1.168,1.13,0.601
