,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU
Tomatoes_red_ripe_raw_year_round_average,94.52,18.0,74.0,0.88,0.2,0.5,3.89,10.0,0.27,24.0,237.0,5.0,0.037,0.019,0.594,0.0,0.0
Onions_welsh_raw,90.5,34.0,142.0,1.9,0.4,0.7,6.5,18.0,1.22,49.0,212.0,17.0,0.05,0.09,0.4,0.0,0.0
Tomatoes_orange_raw,94.78,16.0,67.0,1.16,0.19,0.69,3.18,5.0,0.47,29.0,212.0,42.0,0.046,0.034,0.593,0.0,0.0
Chicory_witloof_raw,94.52,17.0,71.0,0.9,0.1,0.47,4.0,19.0,0.24,26.0,211.0,2.0,0.062,0.027,0.16,0.0,0.0
Chives_raw,90.65,30.0,126.0,3.27,0.73,1.0,4.35,92.0,1.6,58.0,296.0,3.0,0.078,0.115,0.647,0.0,0.0
Cabbage_chinese_(pe-tsai)_raw,94.39,16.0,67.0,1.2,0.2,0.98,3.23,77.0,0.31,29.0,238.0,9.0,0.04,0.05,0.4,0.0,0.0
Bamboo_shoots_raw,91.0,27.0,115.0,2.6,0.3,0.9,5.2,13.0,0.5,59.0,533.0,4.0,0.15,0.07,0.6,0.0,0.0
Lentils_sprouted_raw,67.34,106.0,444.0,8.96,0.55,1.0,22.14,25.0,3.21,173.0,322.0,11.0,0.228,0.128,1.128,0.0,0.0
Cowpeas_young_pods_with_seeds_raw,86.0,44.0,184.0,3.3,0.3,0.9,9.5,65.0,1.0,65.0,215.0,4.0,0.15,0.14,1.2,0.0,0.0
Squash_winter_all_varieties_raw,89.76,34.0,143.0,0.95,0.13,0.57,8.59,28.0,0.58,23.0,350.0,4.0,0.03,0.062,0.5,0.0,0.0
Peas_edible-podded_raw,88.89,42.0,176.0,2.8,0.2,0.56,7.55,43.0,2.08,53.0,200.0,4.0,0.15,0.08,0.6,0.0,0.0
Squash_winter_hubbard_raw,88.0,40.0,167.0,2.0,0.5,0.8,8.7,14.0,0.4,21.0,320.0,7.0,0.07,0.04,0.5,0.0,0.0
Arugula_raw,91.71,25.0,105.0,2.58,0.66,1.4,3.65,160.0,1.46,52.0,369.0,27.0,0.044,0.086,0.305,0.0,0.0
Mustard_greens_raw,90.7,27.0,114.0,2.86,0.42,1.36,4.67,115.0,1.64,58.0,384.0,20.0,0.08,0.11,0.8,0.0,0.0
Lettuce_cos_or_romaine_raw,94.61,17.0,72.0,1.23,0.3,0.58,3.29,33.0,0.97,30.0,247.0,8.0,0.072,0.067,0.313,0.0,0.0
