,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Lipids Fatty acids, total saturated g","Lipids Fatty acids, total monounsaturated g","Lipids Fatty acids, total polyunsaturated g",Lipids Cholesterol mg
Fish_smelt_rainbow_raw,78.77,97.0,406.0,17.63,2.42,1.4,0.0,60.0,0.9,30.0,230.0,290.0,60.0,1.65,0.139,0.452,0.641,0.885,70.0
Fish_tuna_fresh_yellowfin_raw,74.03,109.0,454.0,24.4,0.49,1.64,0.0,4.0,0.77,35.0,278.0,441.0,45.0,0.37,0.036,0.172,0.116,0.147,39.0
Fish_pompano_florida_raw,71.12,164.0,686.0,18.48,9.47,1.1,0.0,22.0,0.6,27.0,195.0,381.0,65.0,0.72,0.038,3.509,2.586,1.137,50.0
Fish_salmon_Atlantic_wild_raw,68.5,142.0,594.0,19.84,6.34,2.54,0.0,12.0,0.8,29.0,200.0,490.0,44.0,0.64,0.25,0.981,2.103,2.539,55.0
Fish_haddock_raw,83.38,74.0,309.0,16.32,0.45,1.28,0.0,11.0,0.17,21.0,227.0,286.0,213.0,0.32,0.021,0.091,0.061,0.166,54.0
Fish_burbot_raw,79.26,90.0,377.0,19.31,0.81,1.16,0.0,50.0,0.9,32.0,200.0,404.0,97.0,0.76,0.2,0.163,0.133,0.297,60.0
Fish_tilefish_raw,78.9,96.0,402.0,17.5,2.31,1.14,0.0,26.0,0.25,28.0,187.0,433.0,53.0,0.37,0.041,0.441,0.571,0.599,50.0
Fish_anchovy_european_raw,73.37,131.0,548.0,20.35,4.84,1.44,0.0,147.0,3.25,41.0,174.0,383.0,104.0,1.72,0.211,1.282,1.182,1.637,60.0
Fish_tilapia_raw,78.08,96.0,400.0,20.08,1.7,0.93,0.0,10.0,0.56,27.0,170.0,302.0,52.0,0.33,0.075,0.585,0.498,0.363,50.0
Fish_mahimahi_raw,77.55,85.0,356.0,18.5,0.7,2.1,0.0,15.0,1.13,30.0,143.0,416.0,88.0,0.46,0.041,0.188,0.121,0.165,73.0
Fish_catfish_channel_farmed_raw,79.06,119.0,496.0,15.23,5.94,1.05,0.0,8.0,0.23,19.0,204.0,302.0,98.0,0.48,0.032,1.31,2.573,1.119,55.0
Fish_monkfish_raw,83.24,76.0,318.0,14.48,1.52,1.21,0.0,8.0,0.32,21.0,200.0,400.0,18.0,0.41,0.028,0.34,0.24,0.61,25.0
Mollusks_snail_raw,79.2,90.0,377.0,16.1,1.4,1.3,2.0,10.0,3.5,250.0,272.0,382.0,70.0,1.0,0.4,0.361,0.259,0.252,50.0
Fish_mackerel_Pacific_and_jack_mixed_species_raw,70.15,158.0,661.0,20.07,7.89,1.62,0.0,23.0,1.16,28.0,125.0,406.0,86.0,0.67,0.093,2.247,2.629,1.94,47.0
Fish_whitefish_mixed_species_raw,72.77,134.0,561.0,19.09,5.86,1.12,0.0,26.0,0.37,33.0,270.0,317.0,51.0,0.99,0.072,0.906,1.996,2.149,60.0
