,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg"
Lamb_New_Zealand_imported_tongue_-_swiss_cut_raw,66.5,225.0,940.0,14.27,18.61,0.77,0.0,6.0
Lamb_New_Zealand_imported_netted_shoulder_rolled_boneless_separable_lean_and_fat_raw,62.47,252.0,1053.0,16.9,20.36,0.82,0.2,5.0
Lamb_variety_meats_and_by-products_tongue_raw,66.6,222.0,929.0,15.7,17.17,0.92,0.0,9.0
"Game_meat_bison_shoulder_clod_separable_lean_only_trimmed_to_0""_fat_raw",75.4,109.0,456.0,21.1,2.1,1.2,0.0,4.0
Veal_variety_meats_and_by-products_kidneys_raw,79.07,99.0,414.0,15.76,3.12,1.2,0.85,11.0
Veal_cubed_for_stew_(leg_and_shoulder)_separable_lean_only_raw,76.39,109.0,456.0,20.27,2.5,1.1,0.0,17.0
Veal_variety_meats_and_by-products_heart_raw,77.69,110.0,460.0,17.18,3.98,1.07,0.08,5.0
Veal_Australian_shank_fore_bone-in_separable_lean_and_fat_raw,72.57,145.0,607.0,19.58,7.42,1.0,0.0,15.0
Lamb_variety_meats_and_by-products_mechanically_separated_raw,58.68,276.0,1155.0,14.97,23.54,1.21,0.0,162.0
"Lamb_Australian_imported_fresh_leg_center_slice_bone-in_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",68.46,195.0,816.0,19.17,12.56,0.98,0.0,10.0
Game_meat_elk_raw,74.38,111.0,464.0,22.95,1.45,1.0,0.0,4.0
"Lamb_Australian_imported_fresh_foreshank_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",68.31,195.0,816.0,18.85,12.68,0.85,0.0,12.0
"Lamb_Australian_imported_fresh_leg_whole_(shank_and_sirloin)_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",73.98,135.0,565.0,20.46,5.23,1.06,0.0,8.0
Game_meat_antelope_raw,74.08,114.0,477.0,22.38,2.03,1.1,0.0,3.0
Veal_Australian_separable_fat_raw,38.1,509.0,2130.0,9.91,52.17,0.5,0.0,2.0
"Lamb_Australian_imported_fresh_leg_sirloin_chops_boneless_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",66.86,208.0,870.0,18.33,14.38,0.86,0.0,11.0
"Lamb_domestic_leg_shank_half_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",68.73,185.0,774.0,18.99,11.5,1.0,0.0,7.0
Veal_leg_(top_round)_separable_lean_only_raw,75.82,107.0,448.0,21.28,1.76,1.14,0.0,5.0
Veal_rib_separable_lean_only_raw,75.18,120.0,502.0,19.97,3.89,1.02,0.0,14.0
Lamb_New_Zealand_imported_neck_chops_separable_lean_only_raw,72.43,151.0,632.0,19.84,7.97,1.0,0.0,23.0
Veal_rib_separable_lean_and_fat_raw,71.15,162.0,678.0,18.86,9.01,0.97,0.0,13.0
Game_meat_rabbit_domesticated_composite_of_cuts_raw,72.82,136.0,569.0,20.05,5.55,0.72,0.0,13.0
"Lamb_Australian_imported_fresh_shoulder_blade_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",62.13,262.0,1096.0,16.48,21.28,0.76,0.0,19.0
Game_meat_moose_raw,75.55,102.0,427.0,22.24,0.74,1.13,0.0,5.0
"Lamb_domestic_foreshank_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",67.01,201.0,841.0,18.91,13.38,0.95,0.0,11.0
Lamb_variety_meats_and_by-products_kidneys_raw,79.23,97.0,406.0,15.74,2.95,1.26,0.82,13.0
Lamb_New_Zealand_imported_frozen_composite_of_trimmed_retail_cuts_separable_lean_and_fat_raw,59.8,277.0,1159.0,16.74,22.74,0.92,0.0,13.0
Lamb_New_Zealand_imported_loin_chop_separable_lean_only_raw,71.4,142.0,594.0,19.98,6.88,1.05,0.0,18.0
Veal_shoulder_whole_(arm_and_blade)_separable_lean_only_raw,76.58,112.0,469.0,19.79,3.0,1.07,0.0,22.0
Veal_shoulder_whole_(arm_and_blade)_separable_lean_and_fat_raw,74.78,130.0,544.0,19.27,5.28,1.05,0.0,22.0
"Lamb_domestic_rib_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",53.68,342.0,1431.0,15.32,30.71,0.78,0.0,14.0
Lamb_New_Zealand_imported_rack_-_fully_frenched_separable_lean_and_fat_raw,69.53,169.0,709.0,19.88,9.96,0.94,0.05,8.0
"Lamb_domestic_shoulder_arm_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",61.76,260.0,1088.0,16.79,20.9,0.9,0.0,14.0
"Lamb_domestic_shoulder_arm_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",63.3,244.0,1021.0,17.19,18.94,0.92,0.0,14.0
"Lamb_Australian_imported_fresh_rib_chop_slash_rack_roast_frenched_bone-in_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",70.48,147.0,613.0,24.07,5.59,0.96,0.0,7.0
Game_meat__bison_ground_raw,64.25,223.0,935.0,18.67,15.93,0.88,0.0,11.0
"Lamb_Australian_imported_fresh_leg_sirloin_half_boneless_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",62.63,254.0,1063.0,17.25,20.0,0.87,0.0,12.0
"Lamb_Australian_imported_fresh_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",64.93,229.0,958.0,17.84,16.97,0.88,0.0,13.0
Lamb_New_Zealand_imported_tenderloin_separable_lean_and_fat_raw,74.04,120.0,501.0,20.43,4.22,1.34,0.01,4.0
"Lamb_Australian_imported_fresh_shoulder_arm_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",63.82,243.0,1017.0,17.06,18.89,0.83,0.0,16.0
Veal_breast_whole_boneless_separable_lean_and_fat_raw,67.67,208.0,870.0,17.47,14.75,0.9,0.0,7.0
"Lamb_Australian_imported_fresh_leg_bottom_boneless_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",72.94,136.0,570.0,22.28,5.24,1.05,0.0,2.0
Lamb_New_Zealand_imported_kidney_raw,81.02,84.0,351.0,15.21,2.54,1.19,0.03,8.0
Lamb_variety_meats_and_by-products_brain_raw,79.2,122.0,510.0,10.4,8.58,1.33,0.0,9.0
"Lamb_domestic_leg_whole_(shank_and_sirloin)_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",74.11,128.0,536.0,20.56,4.51,1.07,0.0,6.0
Veal_sirloin_separable_lean_only_raw,75.94,110.0,460.0,20.2,2.59,1.09,0.0,11.0
